instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_6075_n112_m2.gml;112;244;0.039254;2;21;4.3571;0.104038;6;3.0564413265306123;3;6;0.6231477655862228;0.018945243945243946;0.21600058759571847;0.3300632023025299;0.4826086956521739;3;-0.04984591328840607;0.10403841161664028;0.08761904761904762;7.716133498833891;0.6165564306944762;133;
ba_6077_n129_m2.gml;128;281;0.034572;2;21;4.3906;0.072202;6;3.1004638671875;3;6;0.5580881671776871;0.016864102924634417;0.20468594111747762;0.3254989219232309;0.47924528301886793;3;-0.05646099800173669;0.07220151615348017;0.06290322580645161;7.7592626822099;0.5996786228440446;154;
ba_6080_n69_m3.gml;69;204;0.086957;3;16;5.913;0.140163;4;2.481411468178954;3;4;0.4309005434005364;0.0226552658701378;0.11380893452808963;0.4023779934673637;0.5230769230769231;4;0.013752850779369387;0.1401630575543619;0.14244604316546763;8.065699263428229;1.2253533601583169;136;
ba_6085_n117_m1.gml;31;46;0.098925;2;8;2.9677;0.137097;6;2.998959417273673;4;6;0.7822164937407834;0.07237671486837227;0.43520343003101625;0.33307146913597324;0.47619047619047616;2;-0.09624683398572413;0.13709677419354838;0.0703125;3.918889761188713;0.23596753374585394;16;
ba_6089_n62_m2.gml;58;130;0.078645;2;19;4.4828;0.126789;5;2.6569560047562426;3;5;0.5252257314388902;0.03042087978567107;0.3496347611244226;0.3774248015937203;0.5757575757575758;3;-0.009800173062604651;0.12678878894849857;0.13432835820895522;6.89746213528993;0.6333637239945541;73;
ba_6092_n98_m3.gml;98;291;0.061224;2;29;5.9388;0.11112;4;2.595585172844648;3;4;0.3953340944451126;0.016899414404937228;0.22575123095148117;0.38654442336033906;0.5606936416184971;4;-0.08284085307843513;0.11112025040130764;0.09190096516995384;9.162218683926724;1.263641840694335;194;
ba_6097_n62_m3.gml;62;186;0.098361;2;19;6.0;0.171405;4;2.394901144640999;3;4;0.4610195460631114;0.023902696985721835;0.16912879483531013;0.41611459640525467;0.5446428571428571;4;-0.057696610151912305;0.1714046140616599;0.146948003014318;8.229513593278483;1.437932009321266;125;
ba_6098_n109_m3.gml;108;320;0.055382;2;28;5.9259;0.135591;4;2.6270576131687244;3;4;0.3142696805273545;0.01558122220262936;0.20155110514870567;0.38142970844947766;0.5487179487179488;4;-0.138655888588674;0.1355913774334827;0.08674427337589186;9.101286039267524;1.3671491917157421;213;
ba_6103_n60_m3.gml;60;180;0.101695;2;25;6.0;0.244355;4;2.2933333333333334;3;4;0.4818944098266987;0.02296902396259497;0.22037006847674664;0.43511364427190935;0.6276595744680851;4;-0.16688544453980955;0.24435527435527435;0.181640625;9.1580492091089;1.4203882423978946;121;
ba_6106_n128_m3.gml;128;405;0.049828;2;34;6.3281;0.110418;5;2.632568359375;3;5;0.3670212389545733;0.013121406699162601;0.20601922376933096;0.3809385913774182;0.5474137931034483;4;-0.10748680011515424;0.11041845574838728;0.08691071898867526;10.1829928135556;1.3893568886531962;278;
ba_6111_n85_m2.gml;85;186;0.052101;2;19;4.3765;0.158314;5;2.811349480968858;3;5;0.4969108725163029;0.02222672201410684;0.20323700220787413;0.35724692446697365;0.5029940119760479;3;-0.19213853686218946;0.15831448049714303;0.09927360774818401;7.363445264552767;0.7168550566382855;102;
ba_6122_n64_m2.gml;62;134;0.070862;2;12;4.3226;0.088094;5;2.8418314255983352;3;5;0.5273478298152199;0.031473647100299665;0.19635317479471923;0.3529233845255419;0.4728682170542636;3;0.021481859493085665;0.08809407438439695;0.10185185185185185;6.079622025632174;0.6201665828042255;73;
ba_6127_n121_m3.gml;121;357;0.049174;2;23;5.9008;0.090737;5;2.716754320060105;3;5;0.31098987970622777;0.014616755793226383;0.12464258582186502;0.3689022103025025;0.502092050209205;4;-0.05436136217672559;0.09073704102105197;0.08350951374207188;9.202396652979271;1.378770120950067;237;
ba_6136_n130_m3.gml;130;393;0.046869;2;21;6.0462;0.086477;5;2.731834319526627;3;5;0.40125542633061473;0.01369540101371497;0.1280267486622946;0.3670591740331437;0.48863636363636365;4;-0.08325783907603472;0.08647682766282432;0.07251047373509507;8.861844565690086;1.3298301756139133;264;
ba_6138_n98_m3.gml;98;291;0.061224;2;28;5.9388;0.17279;5;2.5660141607663474;3;5;0.4162464909055334;0.016588207447927626;0.19300274672871476;0.39083624625564223;0.5542857142857143;4;-0.14834035861144443;0.17279034268830187;0.11600928074245939;9.432227651955667;1.2428860885822905;194;
ba_6144_n82_m3.gml;82;255;0.076784;2;27;6.2195;0.215785;4;2.415526472337894;3;4;0.4781047752173819;0.01806684733514002;0.18947392449412706;0.4148953096630664;0.5664335664335665;4;-0.21343623947613183;0.2157852878613477;0.13530135301353013;9.961453008316486;1.2668040179411668;174;
ba_614_n87_m2.gml;87;176;0.047046;2;23;4.046;0.140395;5;2.9919408112035937;3;5;0.5581522088358153;0.023843892007484623;0.32691188424068435;0.3359412342659544;0.5088757396449705;3;-0.10697736250379837;0.14039470163907944;0.07407407407407407;6.535556738783619;0.6474207478180595;90;
ba_6151_n56_m3.gml;56;165;0.107143;2;16;5.8929;0.203844;5;2.389668367346939;3;5;0.5088502445991074;0.02653920153920154;0.12761975886627983;0.417132736531238;0.5339805825242718;4;-0.08469569939362055;0.20384352750424178;0.17933390264731;8.208164135820756;1.1960363276679589;110;
ba_6153_n91_m3.gml;91;276;0.067399;2;23;6.0659;0.155791;4;2.504769955319406;3;4;0.4281485656874319;0.017220232950570024;0.14461976778113123;0.4000209047824955;0.5325443786982249;4;-0.17004088497114891;0.15579090465909126;0.1214574898785425;9.571770910479119;1.3320264000552935;186;
ba_6163_n113_m3.gml;113;339;0.053571;2;31;6.0;0.123724;4;2.600360247474352;3;4;0.3959620764813645;0.014626826573729228;0.1807691633644754;0.38594199692324926;0.5517241379310345;4;-0.10315960563044047;0.12372434648391617;0.10606060606060606;10.117075280900886;1.432674527605687;227;
ba_6164_n120_m2.gml;115;241;0.036766;2;22;4.1913;0.083831;6;3.126654064272212;4;6;0.5360360002581719;0.019062662427519354;0.26936121355932435;0.32205078073352156;0.4810126582278481;3;-0.1428548254750587;0.08383138600529905;0.04876325088339223;6.825025522218307;0.47726884751192034;127;
ba_6166_n92_m1.gml;26;39;0.12;2;11;3.0;0.076032;5;2.532544378698225;3;5;0.5870899047105288;0.06807692307692309;0.6030555555555558;0.3909115897997752;0.6097560975609756;2;-0.1780205655526996;0.07603230103230103;0.06870229007633588;4.265190584933365;0.4378409956560178;14;
ba_6176_n100_m2.gml;99;225;0.046382;2;16;4.5455;0.127124;5;2.9662279359249055;3;5;0.5554637206007079;0.0205824285353004;0.1610775212859345;0.3391355104604324;0.47115384615384615;3;-0.018883645073352245;0.12712394227545742;0.08843036109064112;7.329343222661097;0.6919887300697857;127;
ba_6178_n144_m2.gml;139;307;0.032009;2;21;4.4173;0.0785;6;3.1323430464261683;3;6;0.5397122110362892;0.015730227623677002;0.1813932869819484;0.3220549402133353;0.4726027397260274;4;-0.09821102882871915;0.07850022261954018;0.07306590257879657;7.890900068270342;0.5306814607051186;169;
